p_year,xlong,ylat
2001,-102.156593,30.954395
2001,-102.134491,30.930595
2001,-102.118492,30.919395
2001,-102.121391,30.917694
2001,-102.116989,30.920296
2001,-102.144859,30.946056
2001,-102.157455,30.931273
2001,-102.09269,30.935896
2001,-102.10434,30.922709
2001,-102.119934,30.918545
2001,-102.093925,30.916567
2001,-102.151955,30.934469
2001,-102.155525,30.92477
2001,-102.149193,30.94256
2001,-102.15609,30.932095
2001,-75.759598,42.97459
2001,-75.761101,42.989792
2001,-75.7603,42.976891
2001,-75.7593,42.998592
2001,-75.739494,42.979492
2001,-75.7677,42.988293
2001,-75.765396,43.005093
2001,-75.755699,42.98999
2001,-75.769501,42.99099
2001,-75.767395,42.98069
2001,-75.767097,43.000992
2001,-75.738297,42.97739
2001,-75.763245,43.003555
2001,-75.760597,43.001091
2001,-75.759598,42.99419
2001,-75.762001,42.98069
2001,-75.759895,42.971493
2001,-75.771896,42.995293
2001,-75.764801,42.994392
2001,-100.371094,37.613396
2001,-100.39859,37.613194
2001,-100.367493,37.613495
2001,-100.380493,37.577694
2001,-100.367393,37.642494
2001,-100.409393,37.613194
2001,-100.409393,37.620693
2001,-100.347481,37.612877
2001,-100.383987,37.613194
2001,-100.407593,37.586494
2001,-100.344292,37.605293
2001,-100.358292,37.598694
2001,-100.362289,37.598892
2001,-100.376389,37.613293
2001,-100.382195,37.613293
2001,-100.383987,37.634396
2001,-100.385895,37.577694
2001,-100.405891,37.577694
2001,-100.350677,37.598713
2001,-100.380493,37.592293
2001,-100.372688,37.642494
2001,-100.380493,37.585293
2001,-100.369194,37.642494
2001,-100.363792,37.642395
2001,-100.407692,37.620693
2001,-100.385788,37.585293
2001,-100.407692,37.577694
2001,-100.382294,37.577694
2001,-100.363991,37.598892
2001,-100.39109,37.585293
2001,-100.352791,37.613293
2001,-100.40229,37.577694
2001,-100.382195,37.634396
2001,-100.413116,37.613281
2001,-100.389389,37.577694
2001,-100.40049,37.634293
2001,-100.356392,37.613293
2001,-100.414787,37.613396
2001,-100.370995,37.642494
2001,-100.398788,37.620495
2001,-100.39109,37.641594
2001,-100.356293,37.620792
2001,-100.402191,37.642296
2001,-100.382294,37.592293
2001,-100.394691,37.634293
2001,-100.351089,37.612892
2001,-100.387589,37.577694
2001,-100.385689,37.620693
2001,-100.390991,37.648895
2001,-100.394592,37.620495
2001,-100.404091,37.577694
2001,-100.376488,37.598892
2001,-100.374687,37.598892
2001,-100.387489,37.620693
2001,-100.351395,37.605293
2001,-100.359894,37.613293
2001,-100.396492,37.585293
2001,-100.369392,37.592396
2001,-100.354591,37.613293
2001,-100.40049,37.586494
2001,-100.392891,37.585293
2001,-100.394493,37.648895
2001,-100.369293,37.613396
2001,-100.380394,37.613194
2001,-100.380394,37.634396
2001,-100.348938,37.598713
2001,-100.384094,37.592293
2001,-100.400391,37.613194
2001,-100.396492,37.577694
2001,-100.346092,37.605293
2001,-100.349594,37.605293
2001,-100.392792,37.648895
2001,-100.367592,37.592396
2001,-100.411194,37.620693
2001,-100.396393,37.641594
2001,-100.389191,37.648895
2001,-100.406288,37.613194
2001,-100.376289,37.642494
2001,-100.392792,37.641594
2001,-100.361992,37.642395
2001,-100.374794,37.592293
2001,-100.404091,37.620693
2001,-100.385689,37.641594
2001,-100.39109,37.634293
2001,-100.383987,37.585293
2001,-100.405792,37.586494
2001,-100.392792,37.620594
2001,-100.36409,37.592396
2001,-100.363991,37.613293
2001,-100.359894,37.620594
2001,-100.378288,37.598892
2001,-100.365791,37.598892
2001,-100.402191,37.634293
2001,-100.372993,37.592293
2001,-100.362091,37.648994
2001,-100.394691,37.585293
2001,-100.387489,37.641693
2001,-100.411217,37.586491
2001,-100.39109,37.620594
2001,-100.376488,37.592293
2001,-100.354691,37.598694
2001,-100.414856,37.586452
2001,-100.372894,37.598892
2001,-100.362289,37.592396
2001,-100.400589,37.577694
2001,-100.403992,37.642296
2001,-100.396393,37.620594
2001,-100.365692,37.613495
2001,-100.411255,37.577591
2001,-100.38739,37.648895
2001,-100.370674,37.649014
2001,-100.383987,37.641693
2001,-100.38929,37.634293
2001,-100.40229,37.586494
2001,-100.382195,37.641693
2001,-100.378189,37.613293
2001,-100.352791,37.620594
2001,-100.398689,37.634293
2001,-100.413155,37.577671
2001,-100.38929,37.641594
2001,-100.356491,37.598694
2001,-100.347115,37.598713
2001,-100.385841,37.634281
2001,-100.36219,37.613293
2001,-100.387489,37.634396
2001,-100.405891,37.620693
2001,-100.360092,37.598694
2001,-100.412994,37.586494
2001,-100.384094,37.577694
2001,-100.393127,37.577671
2001,-100.387589,37.592293
2001,-100.414787,37.620594
2001,-100.412994,37.620495
2001,-100.382195,37.585293
2001,-100.372787,37.613495
2001,-100.38929,37.620594
2001,-100.400391,37.642296
2001,-100.371193,37.592293
2001,-100.349289,37.612995
2001,-100.405693,37.642296
2001,-100.409393,37.586494
2001,-100.374588,37.613293
2001,-100.368889,37.649094
2001,-100.394791,37.577694
2001,-100.354492,37.620792
2001,-100.378288,37.592293
2001,-100.358192,37.613293
2001,-100.358093,37.620594
2001,-100.369392,37.598892
2001,-100.371094,37.598892
2001,-100.345688,37.612995
2001,-100.394592,37.641594
2001,-100.40049,37.620495
2001,-100.398788,37.586494
2001,-100.392891,37.634293
2001,-100.367592,37.598892
2001,-100.365791,37.592396
2001,-100.40229,37.620693
2001,-100.398788,37.577694
2001,-100.347893,37.605293
2001,-100.39859,37.642296
2001,-100.352417,37.598633
2001,-100.385887,37.592319
2001,-100.404251,37.586452
2001,-100.396408,37.634281
2001,-100.387589,37.585293
2001,-100.411194,37.613194
2001,-100.409477,37.577591
2001,-100.389389,37.585293
2001,-100.39119,37.577694
2001,-97.435295,35.902493
2001,-105.989487,31.715195
2001,-105.990891,31.715796
2001,-70.922195,42.30439
2001,-102.176491,30.937195
2001,-102.203888,30.942995
2001,-102.163788,30.955296
2001,-102.16349,30.951494
2001,-102.171791,30.939995
2001,-102.183189,30.930395
2001,-102.219589,30.960196
2001,-102.199394,30.935696
2001,-102.232292,30.940994
2001,-102.223289,30.934095
2001,-102.19249,30.932396
2001,-102.226089,30.944096
2001,-102.174393,30.952995
2001,-102.190094,30.940895
2001,-102.197289,30.928295
2001,-102.213692,30.930096
2001,-102.216492,30.927895
2001,-102.220291,30.934895
2001,-102.221794,30.934496
2001,-102.210693,30.940695
2001,-102.213791,30.937996
2001,-102.168091,30.943295
2001,-102.171288,30.957994
2001,-102.168091,30.953594
2001,-102.230591,30.941195
2001,-102.210892,30.953396
2001,-102.227287,30.946495
2001,-102.205788,30.939495
2001,-102.183289,30.938696
2001,-102.179092,30.947796
2001,-102.210693,30.947994
2001,-102.209389,30.954494
2001,-102.174591,30.937996
2001,-102.188492,30.942394
2001,-102.200493,30.926695
2001,-102.169189,30.942095
2001,-102.188889,30.933994
2001,-102.164391,30.946695
2001,-102.182289,30.933195
2001,-102.207092,30.927795
2001,-102.190887,30.933495
2001,-102.180893,30.951395
2001,-102.195992,30.930595
2001,-102.214493,30.952394
2001,-102.164993,30.950396
2001,-102.20739,30.938395
2001,-102.165092,30.937695
2001,-102.224693,30.933495
2001,-102.230988,30.944996
2001,-102.179993,30.941694
2001,-102.208092,30.950596
2001,-102.215195,30.928896
2001,-102.216789,30.957596
2001,-102.203888,30.939495
2001,-102.169693,30.952696
2001,-102.16629,30.945995
2001,-102.221489,30.938894
2001,-102.214088,30.944096
2001,-102.163788,30.959394
2001,-102.166992,30.944395
2001,-102.208191,30.926395
2001,-102.227188,30.942696
2001,-102.185791,30.927895
2001,-102.224792,30.946995
2001,-102.168892,30.935795
2001,-102.166389,30.954096
2001,-102.205193,30.930996
2001,-102.211891,30.939196
2001,-102.185493,30.943695
2001,-102.216194,30.951595
2001,-102.163788,30.938894
2001,-102.19899,30.927595
2001,-102.21769,30.956394
2001,-102.223389,30.938795
2001,-102.193893,30.939695
2001,-102.218094,30.960695
2001,-102.196091,30.936695
2001,-102.171494,30.946095
2001,-102.212692,30.952696
2001,-102.184494,30.929094
2001,-102.194092,30.931395
2001,-102.162292,30.939995
2001,-102.166893,30.936396
2001,-102.174889,30.948095
2001,-102.168289,30.958494
2001,-102.193794,30.947596
2001,-102.184494,30.937296
2001,-102.177895,30.943995
2001,-102.212494,30.924295
2001,-102.209595,30.924795
2001,-102.212692,30.945696
2001,-102.173294,30.939495
2001,-102.187294,30.936495
2001,-102.205589,30.928795
2001,-102.166992,30.949896
2001,-102.201088,30.935196
2001,-102.171394,30.950396
2001,-102.162888,30.947294
2001,-102.192291,30.940195
2001,-102.19529,30.938696
2001,-102.166794,30.958096
2001,-102.180893,30.945995
2001,-102.217392,30.942896
2001,-102.183594,30.944395
2001,-102.197792,30.936094
2001,-102.228989,30.941895
2001,-102.218788,30.935196
2001,-102.202087,30.939695
2001,-102.214989,30.936396
2001,-102.186394,30.946695
2001,-102.209389,30.949196
2001,-102.232788,30.943995
2001,-102.233688,30.947294
2001,-102.235191,30.946495
2001,-102.181389,30.940395
2001,-102.216591,30.961494
2001,-102.219093,30.955595
2001,-102.216888,30.935696
2001,-102.191589,30.944595
2001,-102.173088,30.948996
2001,-102.170387,30.940796
2001,-102.16169,30.955496
2001,-102.169792,30.958296
2001,-102.16539,30.959095
2001,-102.221291,30.959595
2001,-96.112694,44.011993
2001,-96.115189,44.012592
2001,-102.244293,31.241394
2001,-102.259689,31.216194
2001,-102.192749,31.28689
2001,-102.238792,31.246195
2001,-102.246292,31.210495
2001,-102.155495,31.282194
2001,-102.187294,31.273294
2001,-102.26519,31.218794
2001,-102.232834,31.264597
2001,-102.163422,31.280602
2001,-102.151993,31.293995
2001,-102.261581,31.214678
2001,-102.262589,31.213894
2001,-102.149864,31.185936
2001,-102.233788,31.254095
2001,-102.193108,31.268032
2001,-102.254547,31.222855
2001,-102.193291,31.285795
2001,-102.232788,31.268995
2001,-102.183495,31.278894
2001,-102.260292,31.223995
2001,-102.133888,31.240194
2001,-102.164291,31.279696
2001,-102.179794,31.282194
2001,-102.14006,31.224764
2001,-102.253708,31.223953
2001,-102.226891,31.207895
2001,-102.19529,31.266294
2001,-102.239693,31.245396
2001,-102.236191,31.241295
2001,-102.243294,31.235094
2001,-102.153893,31.224094
2001,-102.250587,31.209595
2001,-102.237892,31.246994
2001,-102.152626,31.293055
2001,-102.138359,31.22644
2001,-102.19529,31.281694
2001,-102.241188,31.236895
2001,-102.140953,31.232431
2001,-102.188293,31.296894
2001,-102.271675,31.213617
2001,-102.259346,31.207125
2001,-102.233292,31.255695
2001,-102.245293,31.233395
2001,-102.232994,31.262295
2001,-102.235092,31.249395
2001,-102.264389,31.219694
2001,-102.229156,31.248371
2001,-102.226822,31.258875
2001,-102.247978,31.238277
2001,-102.195793,31.280695
2001,-102.262794,31.221395
2001,-102.249794,31.236694
2001,-102.246094,31.239895
2001,-102.156387,31.281296
2001,-102.232788,31.271296
2001,-102.205292,31.268496
2001,-102.202988,31.271194
2001,-102.13649,31.227995
2001,-102.178093,31.283396
2001,-102.265251,31.211267
2001,-102.165001,31.278891
2001,-102.155495,31.289295
2001,-102.22879,31.207294
2001,-102.233093,31.260096
2001,-102.255386,31.221745
2001,-102.15799,31.279495
2001,-102.20369,31.270294
2001,-102.24929,31.229795
2001,-102.139099,31.233812
2001,-102.236893,31.247795
2001,-102.258812,31.217381
2001,-102.252846,31.225086
2001,-102.262589,31.206995
2001,-102.199493,31.276094
2001,-102.255692,31.208395
2001,-102.180588,31.280994
2001,-102.191093,31.290695
2001,-102.18679,31.300695
2001,-102.137413,31.227226
2001,-102.132088,31.240295
2001,-102.18689,31.298895
2001,-102.235153,31.242172
2001,-102.197495,31.278894
2001,-102.201393,31.272995
2001,-102.26149,31.207094
2001,-102.191391,31.288694
2001,-102.158142,31.222055
2001,-102.258789,31.226194
2001,-102.232994,31.206696
2001,-102.202194,31.272095
2001,-102.196594,31.279795
2001,-102.147408,31.186666
2001,-102.189491,31.270994
2001,-102.226494,31.261295
2001,-102.236992,31.206095
2001,-102.190094,31.292694
2001,-102.252693,31.234394
2001,-102.239189,31.238594
2001,-102.234169,31.252525
2001,-102.222694,31.209095
2001,-102.204491,31.269396
2001,-102.234993,31.206394
2001,-102.134476,31.23773
2001,-102.227089,31.256395
2001,-102.249191,31.209894
2001,-102.25032,31.22867
2001,-102.198792,31.276995
2001,-102.2705,31.21406
2001,-102.268204,31.21516
2001,-102.242294,31.235994
2001,-102.255089,31.231594
2001,-102.140694,31.188795
2001,-102.248894,31.237495
2001,-102.154793,31.284494
2001,-102.240189,31.237795
2001,-102.251892,31.209394
2001,-102.232567,31.274084
2001,-102.25679,31.207794
2001,-102.144592,31.187695
2001,-102.263519,31.220558
2001,-102.160629,31.221348
2001,-102.266991,31.210594
2001,-102.228073,31.251854
2001,-102.194328,31.267071
2001,-102.23259,31.276495
2001,-102.246292,31.232494
2001,-102.191895,31.268995
2001,-102.19059,31.291695
2001,-102.187492,31.297794
2001,-102.233093,31.243895
2001,-102.247894,31.210543
2001,-102.192039,31.287819
2001,-102.244293,31.234295
2001,-102.15419,31.285595
2001,-102.248291,31.230795
2001,-102.266792,31.216995
2001,-102.235992,31.248594
2001,-102.13723,31.235382
2001,-102.23819,31.239494
2001,-102.257988,31.218395
2001,-102.265991,31.217896
2001,-102.1381,31.234573
2001,-102.146194,31.186995
2001,-102.241493,31.243837
2001,-102.240593,31.244637
2001,-102.254395,31.232695
2001,-102.258095,31.227295
2001,-102.227631,31.254148
2001,-102.247292,31.231594
2001,-102.190788,31.269995
2001,-102.133644,31.238623
2001,-102.23719,31.240395
2001,-102.232773,31.26676
2001,-102.193726,31.284866
2001,-102.151192,31.294895
2001,-102.251595,31.235094
2001,-102.159195,31.278194
2001,-102.254501,31.208834
2001,-102.261078,31.223152
2001,-102.228592,31.250095
2001,-102.200691,31.273895
2001,-102.231094,31.245695
2001,-102.19809,31.277994
2001,-102.141182,31.224148
2001,-102.200188,31.275095
2001,-102.234154,31.243052
2001,-102.263489,31.213095
2001,-102.257889,31.207294
2001,-102.232094,31.244795
2001,-102.253494,31.233496
2001,-102.253288,31.209194
2001,-102.22039,31.209496
2001,-102.189156,31.294838
2001,-102.229988,31.246796
2001,-102.159393,31.221684
2001,-102.18959,31.293795
2001,-102.242393,31.242994
2001,-102.154091,31.291195
2001,-102.157089,31.280294
2001,-102.224892,31.208595
2001,-102.142052,31.188383
2001,-102.143326,31.188093
2001,-102.245193,31.240694
2001,-102.238892,31.205795
2001,-102.135391,31.236895
2001,-102.139122,31.225538
2001,-102.230789,31.206795
2001,-102.267494,31.216095
2001,-102.244591,31.210495
2001,-102.14695,31.221012
2001,-102.194275,31.283726
2001,-102.140053,31.233147
2001,-102.145096,31.222534
2001,-102.233109,31.257813
2001,-102.257294,31.228395
2001,-102.136276,31.236143
2001,-102.194748,31.282774
2001,-102.23468,31.250965
2001,-102.24334,31.242228
2001,-102.18219,31.279894
2001,-102.153389,31.292095
2001,-102.269302,31.21455
2001,-102.256592,31.22946
2001,-102.257133,31.219547
2001,-102.145996,31.221678
2001,-102.148659,31.18639
2001,-102.25589,31.230595
2001,-102.251709,31.226995
2001,-102.262093,31.222395
2001,-102.188293,31.271996
2001,-102.259491,31.225094
2001,-102.154793,31.290195
2001,-102.250694,31.235895
2001,-102.246994,31.239096
2001,-149.432159,60.126122
2001,-120.551735,45.57048
2001,-120.551735,45.571903
2001,-120.550682,45.559158
2001,-120.551712,45.569065
2001,-120.551743,45.573322
2001,-120.55172,45.565659
2001,-120.545242,45.552494
2001,-120.551697,45.562809
2001,-120.545448,45.553879
2001,-120.551758,45.574734
2001,-120.550652,45.560585
2001,-120.551682,45.564251
2001,-120.55069,45.557716
2001,-120.551727,45.56765
2001,-120.547447,45.555557
2001,-120.55175,45.57618
2001,-96.450592,44.520393
2001,-101.24659,35.470894
2001,-101.235794,35.477795
2001,-101.241394,35.484993
2001,-101.231392,35.476494
2001,-101.248795,35.471493
2001,-101.240692,35.479195
2001,-101.250992,35.454594
2001,-101.246994,35.481094
2001,-101.250694,35.482193
2001,-101.239494,35.483494
2001,-101.245789,35.486294
2001,-101.19149,35.460495
2001,-101.231392,35.466892
2001,-101.247993,35.492092
2001,-101.228989,35.457294
2001,-101.244392,35.470196
2001,-101.248291,35.488293
2001,-101.235588,35.467693
2001,-101.191788,35.452393
2001,-101.199188,35.454494
2001,-101.21209,35.458195
2001,-101.189293,35.459892
2001,-101.233292,35.449394
2001,-101.20549,35.456093
2001,-101.250587,35.488995
2001,-101.240089,35.451294
2001,-101.245789,35.491493
2001,-101.235489,35.459194
2001,-101.248795,35.463196
2001,-101.239891,35.460495
2001,-101.242294,35.451893
2001,-101.233391,35.467094
2001,-101.198189,35.471294
2001,-101.224693,35.464394
2001,-101.231094,35.448692
2001,-101.233688,35.477093
2001,-101.222488,35.463696
2001,-101.246689,35.462494
2001,-101.246689,35.453194
2001,-101.243591,35.485794
2001,-101.195892,35.461994
2001,-101.231194,35.457993
2001,-101.204292,35.463593
2001,-101.242294,35.461193
2001,-101.235588,35.449993
2001,-101.237991,35.478394
2001,-101.244492,35.480392
2001,-101.193687,35.461292
2001,-101.252388,35.493492
2001,-101.201492,35.463295
2001,-101.207794,35.456795
2001,-101.189194,35.468594
2001,-101.252892,35.482895
2001,-101.252693,35.489594
2001,-101.233292,35.458492
2001,-101.248894,35.453896
2001,-101.201393,35.455193
2001,-101.226891,35.465096
2001,-101.191391,35.469296
2001,-101.237892,35.450596
2001,-101.244492,35.452496
2001,-101.253189,35.464596
2001,-101.250191,35.492794
2001,-101.195992,35.470695
2001,-101.253189,35.455193
2001,-101.250992,35.472294
2001,-101.253189,35.472893
2001,-101.23999,35.468994
2001,-101.196991,35.453896
2001,-101.193993,35.452293
2001,-101.237793,35.468395
2001,-101.244492,35.461796
2001,-101.250992,35.463894
2001,-101.242188,35.469593
2001,-101.237793,35.459892
2001,-101.226791,35.456696
2001,-101.209991,35.457493
2001,-101.193588,35.469994
2001,-101.224594,35.456093
2001,-101.198288,35.462692
2001,-84.74157,45.761799
2001,-84.738312,45.761806
2001,-93.560692,45.378792
2001,-79.385574,39.929733
2001,-79.391197,39.920994
2001,-79.392899,39.915394
2001,-79.386497,39.928093
2001,-79.3918,39.918194
2001,-79.392593,39.919693
2001,-79.389,39.924294
2001,-79.394096,39.913994
2001,-79.387695,39.926594
2001,-79.3918,39.916794
2001,-90.379868,42.962708
2001,-90.413727,42.962353
2001,-90.364983,42.963017
2001,-90.361237,42.949425
2001,-90.406708,42.962486
2001,-90.370773,42.963139
2001,-90.395103,42.962719
2001,-90.410118,42.962429
2001,-90.36351,42.94944
2001,-90.40345,42.96257
2001,-90.375175,42.962982
2001,-90.372955,42.963032
2001,-90.367973,42.963036
2001,-90.366409,42.949486
2001,-90.38678,42.96286
2001,-90.384491,42.962902
2001,-90.38903,42.962837
2001,-90.392311,42.96278
2001,-90.382217,42.962883
2001,-90.377541,42.962746
2001,-96.727356,46.895161
2001,-95.953194,43.899693
2001,-95.950592,43.899693
2001,-95.949295,43.902691
2001,-116.578186,33.907394
2001,-116.578186,33.905796
2001,-116.578186,33.904694
2001,-116.578186,33.902496
2001,-116.578186,33.903595
2001,-116.578178,33.904102
2001,-116.578186,33.902996
2001,-116.578186,33.906895
