p_year,xlong,ylat
2010,-118.388191,35.053097
2010,-118.382889,35.028595
2010,-118.39209,35.017696
2010,-118.391586,35.020596
2010,-118.364189,35.028095
2010,-118.348686,35.025295
2010,-118.356888,35.032993
2010,-118.381485,35.043694
2010,-118.380486,35.032696
2010,-118.355339,35.033531
2010,-118.362091,35.028996
2010,-118.356987,35.022694
2010,-118.357391,35.047195
2010,-118.379791,35.051094
2010,-118.38739,35.026894
2010,-118.34729,35.057693
2010,-118.371284,35.051395
2010,-118.377388,35.046894
2010,-118.351585,35.055496
2010,-118.360291,35.020996
2010,-118.375191,35.049294
2010,-118.367287,35.036995
2010,-118.374191,35.026196
2010,-118.370987,35.027596
2010,-118.35849,35.046696
2010,-118.375389,35.025696
2010,-118.39109,35.023296
2010,-118.396889,35.049496
2010,-118.362022,35.035137
2010,-118.361389,35.020676
2010,-118.367584,35.028294
2010,-118.364891,35.043396
2010,-118.347191,35.027393
2010,-118.358185,35.037193
2010,-118.386787,35.027794
2010,-118.39566,35.049759
2010,-118.387291,35.053795
2010,-118.387886,35.025394
2010,-118.358185,35.030697
2010,-118.347389,35.026096
2010,-118.366287,35.037796
2010,-118.354187,35.034195
2010,-118.393288,35.050396
2010,-118.359589,35.045994
2010,-118.372185,35.027096
2010,-118.358986,35.036297
2010,-118.384361,35.027653
2010,-118.390884,35.050995
2010,-118.36039,35.030296
2010,-118.358086,35.022095
2010,-118.355385,35.023594
2010,-118.368286,35.036194
2010,-118.389687,35.051296
2010,-118.381882,35.030018
2010,-118.374687,35.050495
2010,-118.353485,35.024895
2010,-118.359085,35.021496
2010,-118.363686,35.043694
2010,-118.375305,35.038174
2010,-118.39399,35.054794
2010,-118.373985,35.038593
2010,-118.361588,35.044796
2010,-118.37619,35.047295
2010,-118.391991,35.050694
2010,-118.3797,35.033554
2010,-118.382385,35.043095
2010,-118.360588,35.045395
2010,-118.357185,35.038094
2010,-118.371887,35.034595
2010,-118.394485,35.050095
2010,-118.388985,35.024197
2010,-118.37973,35.045631
2010,-118.369286,35.035694
2010,-118.349586,35.056793
2010,-118.365189,35.038197
2010,-118.382599,35.050255
2010,-118.380989,35.050797
2010,-118.36869,35.027496
2010,-118.375786,35.048294
2010,-118.372086,35.032795
2010,-118.360291,35.035496
2010,-118.373291,35.026695
2010,-118.378685,35.046494
2010,-118.373688,35.051094
2010,-118.370186,35.052494
2010,-118.380585,35.044594
2010,-118.388885,35.052197
2010,-118.369286,35.053295
2010,-118.391586,35.022095
2010,-118.357689,35.032295
2010,-118.370285,35.035095
2010,-118.391891,35.019196
2010,-118.356491,35.047894
2010,-118.367027,35.029114
2010,-118.376884,35.026096
2010,-118.361191,35.029594
2010,-118.38121,35.03186
2010,-118.348488,35.057297
2010,-118.362442,35.044006
2010,-118.378189,35.025795
2010,-118.248291,35.033894
2010,-118.234406,35.00824
2010,-118.225861,35.031601
2010,-118.222588,35.032894
2010,-118.228088,35.029594
2010,-118.230988,35.026596
2010,-118.25679,35.033096
2010,-118.223587,35.014793
2010,-118.223785,35.012096
2010,-118.225288,35.036896
2010,-118.226891,35.030396
2010,-118.223885,35.008194
2010,-118.230873,35.018757
2010,-118.231384,35.034195
2010,-118.234787,35.033295
2010,-118.256989,35.030594
2010,-118.257484,35.029495
2010,-118.226791,35.036095
2010,-118.224289,35.032394
2010,-118.235176,35.017097
2010,-118.243675,35.03709
2010,-118.223885,35.009495
2010,-118.22979,35.034695
2010,-118.223457,35.018707
2010,-118.247185,35.034695
2010,-118.246185,35.035496
2010,-118.223289,35.025494
2010,-118.223885,35.010796
2010,-118.22879,35.028595
2010,-118.224388,35.017796
2010,-118.225487,35.016994
2010,-118.223686,35.013393
2010,-118.231987,35.017895
2010,-118.236786,35.032696
2010,-118.256889,35.031895
2010,-118.245087,35.036297
2010,-118.22979,35.027393
2010,-118.228287,35.035397
2010,-118.257988,35.028294
2010,-118.233498,35.010849
2010,-118.232986,35.033695
2010,-97.916893,47.215092
2010,-97.912292,47.228592
2010,-97.889488,47.227093
2010,-97.929993,47.199692
2010,-97.978493,47.097992
2010,-97.927689,47.201893
2010,-97.974007,47.098801
2010,-97.984589,47.094193
2010,-97.995888,47.092793
2010,-97.899994,47.20269
2010,-97.98069,47.095592
2010,-97.904694,47.221394
2010,-97.914589,47.216991
2010,-97.987694,47.092892
2010,-97.910492,47.200493
2010,-97.962791,47.117191
2010,-97.863693,47.207191
2010,-97.991493,47.078892
2010,-97.891792,47.204491
2010,-97.991692,47.09259
2010,-97.902092,47.22319
2010,-98.000191,47.07439
2010,-97.995689,47.086391
2010,-97.87809,47.201691
2010,-97.895088,47.203491
2010,-97.893494,47.225193
2010,-97.90519,47.20079
2010,-97.914589,47.225391
2010,-97.882294,47.19989
2010,-97.960091,47.118793
2010,-97.886093,47.229691
2010,-97.909889,47.231392
2010,-97.96769,47.103893
2010,-97.915291,47.20079
2010,-97.995293,47.076591
2010,-107.241638,41.797478
2010,-99.269791,37.606895
2010,-99.30069,37.605694
2010,-100.652992,47.19379
2010,-100.746689,47.097794
