case_id,t_fips,p_name,p_year,t_cap,,,,,,,
3003876,6065,Mesa Wind Farm,1983,65,,,,,,,
3007274,6065,Mesa Wind Farm,1983,65,,,,,,,
3000908,6065,Mesa Wind Farm,1983,65,,,,,,,
3004039,6065,Mesa Wind Farm,1983,65,,,,,,,
3002963,6065,Mesa Wind Farm,1983,65,,,,,,,
3009543,6065,Mesa Wind Farm,1983,65,,,,,,,
3001611,6065,Mesa Wind Farm,1983,65,,,,,,,
3009847,6065,Mesa Wind Farm,1983,65,,,,,,,
3002373,6065,Mesa Wind Farm,1983,65,,,,,,,
3011419,6065,Mesa Wind Farm,1983,65,,,,,,,
3000646,6065,Mesa Wind Farm,1983,65,,,,,,,
3011223,6065,Mesa Wind Farm,1983,65,,,,,,,
3004605,6065,Mesa Wind Farm,1983,65,,,,,,,
3002529,6065,Mesa Wind Farm,1983,65,,,,,,,
3003597,6065,Mesa Wind Farm,1983,65,,,,,,,
3007636,6065,Mesa Wind Farm,1983,65,,,,,,,
3008646,6065,Mesa Wind Farm,1983,65,,,,,,,
3010923,6065,Mesa Wind Farm,1983,65,,,,,,,
3008576,6065,Mesa Wind Farm,1983,65,,,,,,,
3007901,6065,Mesa Wind Farm,1983,65,,,,,,,
3005449,6065,Mesa Wind Farm,1983,65,,,,,,,
3000316,6065,Mesa Wind Farm,1983,65,,,,,,,
3001221,6065,Mesa Wind Farm,1983,65,,,,,,,
3000837,6065,Mesa Wind Farm,1983,65,,,,,,,
3002755,6065,Mesa Wind Farm,1983,65,,,,,,,
3011370,6065,Mesa Wind Farm,1983,65,,,,,,,
3011081,6065,Mesa Wind Farm,1983,65,,,,,,,
3006559,6065,Mesa Wind Farm,1983,65,,,,,,,
3005133,6065,Mesa Wind Farm,1983,65,,,,,,,
3008337,6065,Mesa Wind Farm,1983,65,,,,,,,
3006548,6065,Mesa Wind Farm,1983,65,,,,,,,
3002418,6065,Mesa Wind Farm,1983,65,,,,,,,
3001215,6065,Mesa Wind Farm,1983,65,,,,,,,
3006710,6065,Mesa Wind Farm,1983,65,,,,,,,
3005530,6065,Mesa Wind Farm,1983,65,,,,,,,
3007657,6065,Mesa Wind Farm,1983,65,,,,,,,
3005458,6065,Mesa Wind Farm,1983,65,,,,,,,
3004108,6065,Mesa Wind Farm,1983,65,,,,,,,
3004265,6065,Mesa Wind Farm,1983,65,,,,,,,
3003667,6065,Mesa Wind Farm,1983,65,,,,,,,
3006642,6065,Mesa Wind Farm,1983,65,,,,,,,
3008203,6065,Mesa Wind Farm,1983,65,,,,,,,
3001691,6065,Mesa Wind Farm,1983,65,,,,,,,
3002503,6065,Mesa Wind Farm,1983,65,,,,,,,
3003434,6065,Mesa Wind Farm,1983,65,,,,,,,
3001760,6065,Mesa Wind Farm,1983,65,,,,,,,
3008703,6065,Mesa Wind Farm,1983,65,,,,,,,
3000129,6065,Mesa Wind Farm,1983,65,,,,,,,
3001682,6065,Mesa Wind Farm,1983,65,,,,,,,
3009168,6065,Mesa Wind Farm,1983,65,,,,,,,
3009416,6065,Mesa Wind Farm,1983,65,,,,,,,
3006638,6065,Mesa Wind Farm,1983,65,,,,,,,
3003563,6065,Mesa Wind Farm,1983,65,,,,,,,
3006820,6065,Mesa Wind Farm,1983,65,,,,,,,
3001954,6065,Mesa Wind Farm,1983,65,,,,,,,
3005517,6065,Mesa Wind Farm,1983,65,,,,,,,
3007474,6065,Mesa Wind Farm,1983,65,,,,,,,
3007522,6065,Mesa Wind Farm,1983,65,,,,,,,
3009059,6065,Mesa Wind Farm,1983,65,,,,,,,
3004743,6065,Mesa Wind Farm,1983,65,,,,,,,
3003777,6065,Mesa Wind Farm,1983,65,,,,,,,
3011231,6065,Mesa Wind Farm,1983,65,,,,,,,
3004028,6065,Mesa Wind Farm,1983,65,,,,,,,
3001278,6065,Mesa Wind Farm,1983,65,,,,,,,
3001995,6065,Mesa Wind Farm,1983,65,,,,,,,
3003870,6065,Mesa Wind Farm,1983,65,,,,,,,
3009292,6065,Mesa Wind Farm,1983,65,,,,,,,
3009176,6065,Mesa Wind Farm,1983,65,,,,,,,
3009539,6065,Mesa Wind Farm,1983,65,,,,,,,
3008224,6065,Mesa Wind Farm,1983,65,,,,,,,
3008821,6065,Mesa Wind Farm,1983,65,,,,,,,
3010893,6065,Mesa Wind Farm,1983,65,,,,,,,
3006772,6065,Mesa Wind Farm,1983,65,,,,,,,
3007588,6065,Mesa Wind Farm,1983,65,,,,,,,
3010973,6065,Mesa Wind Farm,1983,65,,,,,,,
3003422,6065,Mesa Wind Farm,1983,65,,,,,,,
3010947,6065,Mesa Wind Farm,1983,65,,,,,,,
3005654,6065,Mesa Wind Farm,1983,65,,,,,,,
3008823,6065,Mesa Wind Farm,1983,65,,,,,,,
3009929,6065,Mesa Wind Farm,1983,65,,,,,,,
3003471,6065,Mesa Wind Farm,1983,65,,,,,,,
3002079,6065,Mesa Wind Farm,1983,65,,,,,,,
